order_id,late_order
0e364fa5c795,0.25936127
3ef49bd5a55b,0.22057894
9ab5b9685bd5,0.62353486
bfce5b4fc4fa,0.81817013
d94453ec8ec5,0.9077858
16fe6b6e9d6a,0.22041905
ac5d5a986b9b,0.41161105
1c7a4ea7f4c0,0.28359243
1c0c5e19e4c6,0.4067789
8cc176a0bf44,0.3816492
378bf77edb03,0.38833523
6170e21e95fe,0.67381924
d0149dd2e352,0.5877695
ec189cf9511a,0.50525206
8ce32429276b,0.3898923
8f354881aca4,0.27561066
5183af46e4b0,0.8692814
aa23055aee87,0.42089745
066f93ece0ae,0.7723551
39ae0191e962,0.33058164
1b18607a1f27,0.4664589
ba817071efdb,0.3936201
0ed5f650f94b,0.29096633
e16f0c63de78,0.40969998
7fb235d6d8b9,0.14733668
64b593da64e9,0.54568595
ea4bd847f661,0.29820043
fc7fbe5f0b2a,0.3414325
fe4ee1985152,0.20444769
857d63724a1e,0.22168423
bed1287c41ce,0.8968508
13ca636c8dac,0.26824343
8f9a0c77cbb1,0.3626555
576ca97329ce,0.60598165
f241edf505df,0.48808885
182c736118b7,0.35173917
ea95131ba714,0.7716562
d3e1d2614f20,0.5055541
9051ca11d2f8,0.56617975
d1c1bdc5d9f7,0.31883118
ca9b4836f1f9,0.5392326
b24db9cf96eb,0.36604682
46af4693cd69,0.6511431
0a46a4286fb6,0.16575475
aacb3e1b33c1,0.27688143
c9e3a96e7620,0.19221702
e0bbd6dc2124,0.3850334
e761df3df392,0.69028723
8ed93ab778a6,0.98738617
c46609af0688,0.91389817
7857fdb71db2,0.35349816
6eea11848b90,0.45882085
d96042182df1,0.22710863
9ae246762026,0.23765413
78db5bb6a328,0.4739786
7f16d1427b4f,0.2684948
27ab0a828c44,0.51208466
a66862c5ddbf,0.2382245
1.38E+11,0.53400594
0215864565d4,0.14342308
8a1782fb24c4,0.30382302
82cc27070cfc,0.52361
f21bbf2204db,0.69070506
9479df381e25,0.5670828
e1ad60b78f43,0.54252905
1ab44bbf84b5,0.16339274
c257b5fe2ebe,0.15900752
ae7bdbcf4a34,0.0
cfb77af236a1,0.21067765
e4faf8484e9e,0.3485727
c96bf16b758d,0.49048522
289ab4b40bcd,0.3950998
dd9089387a91,0.23010299
d93ccb79c6b1,0.91885585
2bc5bebef7c8,0.69175404
ffc5bd21f9cc,0.735721
23e372f00eae,0.6884527
3799535e0ba4,0.5473536
edfb07974b49,0.76600736
8a42c9eea58e,0.47777784
47503dbbbdd1,0.4159752
8bafc7945806,0.89587694
94b2b20a5a6a,0.61997896
c6440780240a,0.8195854
48d048f745e5,0.23092341
cf0aad93949b,0.87525624
8049ffb037fe,0.4102854
a0b170600cdd,0.3480175
f67d34eaccd4,0.37431437
907989f190c0,0.6983793
43b970a34462,0.22319737
5c03e6b95bf5,0.41697213
c6b6a9aecae0,0.43652713
5e363c3bc56d,0.38124952
6c44b38d677f,0.7576817
f4db919ef45f,0.4451464
b83b0f876780,0.6899937
f03c5256ddf8,0.25950733
9bf7802db0e9,0.34700465
8d0f2a34ac98,0.18878876
b1d216e9c667,0.13807967
7bae9f061389,0.34047142
7dd925f87554,0.41775718
83b3ad051e26,0.5548798
14d5952c9916,0.9690885
48fb107998d4,0.5331498
3abb790208bf,0.28823724
a26abb25f7a0,0.68584096
273713310d89,0.4317909
b883fbbb19a5,0.28864783
7866914f21c9,0.3085385
50e19ac59507,0.4791574
1a8c53fac9be,0.22945583
b391ef0d0c05,0.39378032
97aed24d9a7d,0.15848754
39b2e173537d,0.53319687
0fc74b67cf8d,0.82476264
f1e0b7ebddba,0.744889
5046f5f416a6,0.42079353
eda2274982b1,0.6801432
986cb7584399,0.7260422
44342a2348ac,0.13043945
fe75f99a4cdf,0.8600587
1b7b17f236a4,0.72315365
4fe0c1645e6b,0.37132508
eced159defd7,0.73474246
1bdc42c4c46c,0.2904935
579e64066574,0.80286264
3ebda9125dab,0.483156
45d586a7d6a2,0.67249674
7.63E+26,0.63933843
cd04b0edee25,0.7006814
13d2d686b05f,0.77711874
74296fad179a,0.46939036
b9f3e2d2068c,0.470727
bd16e6e2ea8f,0.5992905
a4b02eeeadf3,0.30316982
63a2619719c6,0.38246885
c94f043a1eda,0.30000612
93b07f271f03,0.53535545
27fcb442c2f2,0.13033138
f6045490f921,0.41153482
d9f4ab0861b9,0.31147027
a06fd66ba226,0.5336059
245edacf0d5d,0.38310793
e42ff8898a18,0.34736186
7b9478134bc5,0.68653435
fa95dd54699c,0.42472336
0fec5536aa8c,0.61581874
8ec25db029f2,0.9997034
74d54ec63743,0.6207201
d4492a7d7ee0,0.52029943
1473312f3d12,0.3943953
0a411dd552b2,0.21933226
1ae2c6ac244a,0.38008526
f4cca17a16ed,0.3642128
5c37ad12babf,0.17174914
1b73cb9424f0,0.31511578
c2b6008f8f71,0.8518285
f99df198d781,0.5194462
2aa86c62252e,0.12577577
a225506db051,0.7219218
4a9e86757eb4,0.0908012
a80d85873caa,0.76711005
0677d49eaadd,0.3076188
c826cce8e927,0.27332953
732829cb6db3,0.7557359
2a2bcf124b69,0.2973879
d6d27f32b559,0.29465416
75494a4621b8,0.22514969
291a6716aefe,0.44171968
6d21402c96c9,0.49894872
4dbfeb08bb56,0.36402446
0a0cf3d5fb07,0.65716547
7d59128c39b8,0.31461594
65262a504dc9,0.5621039
501ca53c20fd,0.5751846
4070eee97766,0.47512528
9ade770aaab2,0.17566907
22179e2e6592,0.78897786
827b84fee63f,0.85339344
2b0224752fca,0.49114573
967ccd3ffa15,0.6019168
cd2be5f52dce,0.23879094
